Canton,Rate
Appenzell Rhodes-Extérieures,174.33333333333334
Appenzell Rhodes-Intérieures,20.666666666666668
Argovie,3561.3333333333335
Berne,4552.666666666667
Bâle-Campagne,1360.6666666666667
Bâle-Ville,1151.6666666666667
Fribourg,1488.6666666666667
Genève,4078.0
Glaris,138.66666666666666
Grisons,388.6666666666667
Jura,539.6666666666666
Lucerne,1295.0
Neuchâtel,1579.3333333333333
Nidwald,82.66666666666667
Obwald,51.0
Schaffhouse,428.6666666666667
Schwyz,485.0
Soleure,1267.0
St-Gall,2042.3333333333333
Tessin,1734.0
Thurgovie,1019.3333333333334
Total,133169.0
Uri,37.333333333333336
Valais,1605.3333333333333
Vaud,5718.333333333333
Zoug,514.3333333333334
Zurich,9075.0
